storename,storecontract,storeid,storeaddress,storecity,storestate,storezip,storecountry,storephone,latlonlocation,latlonlocationdv
OK AUTO PARTS,CarQuest,1001833,230 SOUTH FRONT ST,STERLING,CO,80751,USA,9705224384,"40.6171650003144,-103.209960001516","40.6171650003144,-103.209960001516"
VILLAGE AUTO PARTS INC,CarQuest,1002119,136 SCHOOL ST,BELLVILLE,OH,44813,USA,4198864882,"40.6213200000093,-82.5088150029234","40.6213200000093,-82.5088150029234"
LAMONI AUTO PARTS/JRC MOTORSPORT,CarQuest,1001674,1902 EAST MAIN,LAMONI,IA,50140,USA,6417844533,"40.62372,-93.89976","40.62372,-93.89976"
J&S AUTO INC. DBA KAMAS CARQUEST,CarQuest,1001602,235 S. MAIN STREET,KAMAS,UT,84036,USA,4357836777,"40.637435,-111.28076","40.637435,-111.28076"
HOPKINS AUTOMOTIVE INC,CarQuest,1001549,420 4TH CORSO,NEBRASKA CITY,NE,68410,USA,4028736602,"40.6735149669044,-95.85043","40.6735149669044,-95.85043"
Advance Auto Parts,CarQuest,1000275,4795 WEST 3500 SOUTH,WEST VALLEY CITY,UT,84120,USA,8019661011,"40.6743011474609,-111.986717224121","40.6743011474609,-111.986717224121"
Advance Auto Parts,CarQuest,1000204,4306 SOUTH STATE STREET,MURRAY,UT,84107,USA,8012931130,"40.67784,-111.88863","40.67784,-111.88863"
Advance Auto Parts,CarQuest,1000286,1931 W 3500 S,WEST VALLEY CITY,UT,84120,USA,8018862060,"40.6965650341503,-111.942719821866","40.6965650341503,-111.942719821866"
FARMINGTON CARQUEST,CarQuest,1001445,694 N MAIN ST,FARMINGTON,IL,61531,USA,3092454712,"40.7051872506431,-90.0055873639028","40.7051872506431,-90.0055873639028"
Advance Auto Parts,CarQuest,1000465,2260 SOUTH 300 EAST,SALT LAKE CITY,UT,84115,USA,8014875727,"40.72236,-111.88257","40.72236,-111.88257"
PADIK AUTO PARTS - CALIFON,CarQuest,1001844,423 ROUTE 513,CALIFON,NJ,7830,USA,9088322184,"40.7231903076172,-74.8407287597656","40.7231903076172,-74.8407287597656"
BROWN'S REPAIR & AUTO PARTS,CarQuest,1000616,2167 T AVE,CLARINDA,IA,51632,USA,7125424692,"40.73039,-95.0085","40.73039,-95.0085"
CARQUEST,CarQuest,1000712,P.O. BOX 7,CENTERVILLE,IA,52544-0007,USA,6418563275,"40.7350425720215,-92.8721542358398","40.7350425720215,-92.8721542358398"
WENDOVER CARQUEST,CarQuest,1002139,950 STATE HWY,WENDOVER,UT,84083,USA,4356652254,"40.7371826171875,-114.036560058594","40.7371826171875,-114.036560058594"
BLOOMFIELD AUTO PARTS LLC,CarQuest,1000592,204 E FRANKLIN,BLOOMFIELD,IA,52537,USA,6416643991,"40.75032,-92.41325","40.75032,-92.41325"
Advance Auto Parts,CarQuest,1000374,1255 SOUTH 3600 WEST,SALT LAKE CITY,UT,84104,USA,8018868708,"40.7505352846411,-111.977240245601","40.7505352846411,-111.977240245601"
Advance Auto Parts,CarQuest,1000153,5001 RENTWORTH DR SUITE 1,LINCOLN,NE,68516,USA,4024205005,"40.7567667134421,-96.651452183403","40.7567667134421,-96.651452183403"
CORYDON CARQUEST,CarQuest,1000893,106 W. JEFFERSON STREET,CORYDON,IA,50060,USA,6418721909,"40.7570850409245,-93.3277900016046","40.7570850409245,-93.3277900016046"
Advance Auto Parts,CarQuest,1000319,3901 ELIDA RD,LIMA,OH,45807,USA,4192282231,"40.7728650012123,-84.1704299979659","40.7728650012123,-84.1704299979659"
TRI COUNTY AUTOMOTIVE,CarQuest,1002093,1001 N MAIN,HENDERSON,NE,68371,USA,4027235822,"40.77976,-97.81289","40.77976,-97.81289"
CARQUEST,CarQuest,1000975,130 S FOURTH ST,BURLINGTON,IA,52601,USA,3197524546,"40.7973349898869,-91.1017950427919","40.7973349898869,-91.1017950427919"
RICK'S AMERICAN AND FOREIGN AUT,CarQuest,1001952,98 RIDGE ROAD,NORTH ARLINGTON,NJ,7031,USA,2019914190,"40.7983850004148,-74.1260800019847","40.7983850004148,-74.1260800019847"
PREFERRED WAREHOUSE,CarQuest,1001909,11638 STATE ROUTE 61,MOUNT CARMEL,PA,17851-2582,USA,5703394044,"40.7992821802328,-76.4315511876264","40.7992821802328,-76.4315511876264"
PALMERTON AUTO PARTS INC.,CarQuest,1001846,406 DELAWARE AVE,PALMERTON,PA,18071,USA,6108264702,"40.8014419651417,-75.6107128842692","40.8014419651417,-75.6107128842692"
NUTLEY AUTO,CarQuest,1001830,66 WASHINGTON AVE,NUTLEY,NJ,7110,USA,9736670264,"40.8138250000182,-74.1443150001714","40.8138250000182,-74.1443150001714"
CARQUEST,CarQuest,1001119,140 CAPITOL BEACH RD,LINCOLN,NE,68528,USA,4024750010,"40.8196349881559,-96.7407950284862","40.8196349881559,-96.7407950284862"
KOHUTE AUTO PARTS,CarQuest,1001658,812 MCATEER ST,HOUTZDALE,PA,16651,USA,8143786211,"40.82378,-78.35482","40.82378,-78.35482"
Advance Auto Parts,CarQuest,1000273,480 W. IDAHO STREET,ELKO,NV,89801,USA,7757385116,"40.82838,-115.77252","40.82838,-115.77252"
CLARK AUTO EQUIPMENT,CarQuest,1000866,2929 STEWART DRIVE,STATE COLLEGE,PA,16801,USA,8142377681,"40.8303099903276,-77.7971800014334","40.8303099903276,-77.7971800014334"
ROSS FAMILY AUTO PARTS INC,CarQuest,1001970,102 WEST HWY 23,GRANT,NE,69140,USA,3083522240,"40.83827,-101.72579","40.83827,-101.72579"
CARQUEST,CarQuest,1001117,4340 NORTH 60TH STREET,LINCOLN,NE,68507,USA,4024675361,"40.8470700000001,-96.6385349999608","40.8470700000001,-96.6385349999608"
MILLER MOTOR CO,CarQuest,1001766,226 N. PENNSYLVANIA AVE,CENTRE HALL,PA,16828,USA,8143641485,"40.84765,-77.68662","40.84765,-77.68662"
PITSENBARGER SUPPLY,CarQuest,1001894,234 N CANAL ST,DELPHOS,OH,45833,USA,4196921010,"40.8477400000053,-84.341084999662","40.8477400000053,-84.341084999662"
B AND D,CarQuest,1000561,205 S FRONT ST,HUMESTON,IA,50123,USA,6418774971,"40.8575475,-93.49942","40.8575475,-93.49942"
MEESKE AUTO PARTS,CarQuest,1001749,209 WEST ELDORA AVE,WEEPING WATER,NE,68463,USA,4022675169,"40.869669,-96.141735","40.869669,-96.141735"
P & G AUTO PARTS,CarQuest,1001843,26 HILL ST,SOUTHAMPTON,NY,11968,USA,6312833838,"40.88328,-72.39395","40.88328,-72.39395"
Advance Auto Parts,CarQuest,1000464,358 WEST 500 SOUTH,BOUNTIFUL,UT,84010,USA,8016830578,"40.88452,-111.88869","40.88452,-111.88869"
CARQUEST,CarQuest,1001068,2824 SOUTH LOCUST,GRAND ISLAND,NE,68801,USA,3083982130,"40.8845650000027,-98.3396849996468","40.8845650000027,-98.3396849996468"
LONGS AUTO PARTS,CarQuest,1001712,PO BOX 446,MILLHEIM,PA,16854,USA,8143495372,"40.8876304626465,-77.4761199951172","40.8876304626465,-77.4761199951172"
CARQUEST,CarQuest,1001024,250 ROUTE 46,DOVER,NJ,7801,USA,9733288890,"40.8887600002487,-74.5489400001088","40.8887600002487,-74.5489400001088"
"SLACK AUTO SUPPLY, LLC",CarQuest,1002013,817 LINCOLN AVE,YORK,NE,68467,USA,4023627708,"40.891705,-97.59293","40.891705,-97.59293"
"REDMONDS PARTS & PAINT, INC",CarQuest,1001944,7660 FREEDOM AVE NW,NORTH CANTON,OH,44720,USA,3303050100,"40.89217,-81.42917","40.89217,-81.42917"
"J & J MOTOR PARTS, LLC",CarQuest,1001594,38 WESTVILLE LAKE RD,BELOIT,OH,44609,USA,3309386645,"40.896529995907,-80.9941534619789","40.896529995907,-80.9941534619789"
"YOUR PARTS DEPARTMENT II, LLC",CarQuest,1002166,11 S STATE ROAD 13 N,URBANA,IN,46990,USA,2607743334,"40.89823,-85.79246","40.89823,-85.79246"
Advance Auto Parts,CarQuest,1000191,918 S MAIN ST,MONMOUTH,IL,61462,USA,3097347946,"40.9026786763875,-90.6485742800819","40.9026786763875,-90.6485742800819"
WILLOW CREEK AUTO PARTS,CarQuest,1002155,39063 HIGHWAY 299,WILLOW CREEK,CA,95573,USA,5306292121,"40.90772,-123.61338","40.90772,-123.61338"
HEASTAND AUTO PARTS,CarQuest,1001533,203 N. FREEDOM AVE,ALLIANCE,OH,44601,USA,3308230670,"40.9229450003933,-81.0985749593035","40.9229450003933,-81.0985749593035"
S & S AUTO PARTS INC.,CarQuest,1001977,605 LAKE AVE,GOTHENBURG,NE,69138,USA,3085373732,"40.92485,-100.16398","40.92485,-100.16398"
BRODHEADSVILLE AUTO PARTS,CarQuest,1000609,523 MARION LN,BRODHEADSVILLE,PA,18322,USA,5709921188,"40.9252090361045,-75.3996777046507","40.9252090361045,-75.3996777046507"
CARQUEST,CarQuest,1001059,1000 MONMOUTH BLVD,GALESBURG,IL,61401,USA,3093440400,"40.93946,-90.38592","40.93946,-90.38592"
CARQUEST,CarQuest,1001151,2125 E WASHINGTON,MOUNT PLEASANT,IA,52641,USA,3193858018,"40.9582039858763,-91.5164557907539","40.9582039858763,-91.5164557907539"
Advance Auto Parts,CarQuest,1000325,319 BAUD ST,WINNEMUCCA,NV,89445,USA,7756232531,"40.97431,-117.73359","40.97431,-117.73359"
FRANCESVILLE AUTO PARTS,CarQuest,1001457,125 SOUTH BILL STREET,FRANCESVILLE,IN,47946,USA,2195679536,"40.9819200000004,-86.882009999956","40.9819200000004,-86.882009999956"
JOHNSON AUTO PARTS,CarQuest,1001617,303 BROADWAY,RED OAK,IA,51566,USA,7126234964,"41.00161,-95.23277","41.00161,-95.23277"
"APZ AUTO SUPPLIES, INC.",CarQuest,1000513,206 IRVING AVENUE,PORT CHESTER,NY,10573,USA,9149353272,"41.00298,-73.66693","41.00298,-73.66693"
BELL AUTO SUPPLY,CarQuest,1000580,1407 E MAIN,OTTAWA,OH,45875,USA,4195235698,"41.0192750293778,-84.0338050004031","41.0192750293778,-84.0338050004031"
CARQUEST,CarQuest,1000772,117 EAST MCLANE,OSCEOLA,IA,50213,USA,6413426086,"41.03077,-93.76438","41.03077,-93.76438"
DG NICHOLAS CO - TANNERSVILLE,CarQuest,1001387,2885 ROUTE 611,TANNERSVILLE,PA,18372,USA,5706297077,"41.0530375841719,-75.3145984288211","41.0530375841719,-75.3145984288211"
"SILVER LAKE AGRI CENTER, LLC",CarQuest,1002010,205 HERENDEEN STREET,SILVER LAKE,IN,46982,USA,2603522307,"41.0712807048626,-85.8825694152961","41.0712807048626,-85.8825694152961"
Advance Auto Parts,CarQuest,1000466,1436 NORTH MAIN,LAYTON,UT,84041,USA,8015441941,"41.0878199963539,-111.999774993034","41.0878199963539,-111.999774993034"
Advance Auto Parts,CarQuest,1000309,264 S SANDUSKY ST,TIFFIN,OH,44883,USA,4194474524,"41.11312,-83.18772","41.11312,-83.18772"
CARQUEST,CarQuest,1000992,103 W 6TH ST,CHEYENNE,WY,82007,USA,3076329369,"41.12386,-104.80872","41.12386,-104.80872"
HUMPHREYS AUTO SUPPLY,CarQuest,1001580,413 W FIRST ST,OGALLALA,NE,69153,USA,3082843638,"41.12452,-101.7232","41.12452,-101.7232"
DG NICHOLAS CO - MT POCONO,CarQuest,1001385,1166 POCONO BLVD,MT. POCONO,PA,18344,USA,5708397785,"41.13431,-75.36528","41.13431,-75.36528"
"JM PARTS AND EQUIPMENT,  INC.",CarQuest,1001615,1721 E. 4TH,NORTH PLATTE,NE,69101,USA,3085323771,"41.1364457643105,-100.762653736752","41.1364457643105,-100.762653736752"
ECONOMY AUTO PARTS-LOCK HAVEN,CarQuest,1001422,PO BOX 25,LOCK HAVEN,PA,17745,USA,5707484034,"41.1376609802246,-77.4422302246094","41.1376609802246,-77.4422302246094"
SUTHERLAND FARM AND AUTO SUPPLY,CarQuest,1002062,221 WALNUT ST,SUTHERLAND,NE,69165,USA,3083864523,"41.1646108579731,-101.12713","41.1646108579731,-101.12713"
Advance Auto Parts,CarQuest,1000215,4046 RIVERDALE ROAD,OGDEN,UT,84405,USA,8013930883,"41.19063,-111.98087","41.19063,-111.98087"
Advance Auto Parts,CarQuest,1000468,5740 SOUTH 1900 WEST,ROY,UT,84067,USA,8017793223,"41.198295,-112.025815","41.198295,-112.025815"
H & H AUTO PARTS,CarQuest,1001507,287 ROUTE 94,VERNON,NJ,7462,USA,9738273459,"41.1989800109895,-74.4825100209686","41.1989800109895,-74.4825100209686"
MILFORD AUTO SUPPLY,CarQuest,1001762,1051 BRIDGEPORT AVE,MILFORD,CT,6460,USA,2038746778,"41.2132716423967,-73.0773463954299","41.2132716423967,-73.0773463954299"
WAHOO AUTO PARTS,CarQuest,1002125,235 EAST 6 TH STREET,WAHOO,NE,68066,USA,4024433066,"41.2147789001465,-96.6219024658203","41.2147789001465,-96.6219024658203"
Advance Auto Parts,CarQuest,1000218,11202 I STREET SUITE 112,OMAHA,NE,68137,USA,4023390181,"41.21841,-96.08892","41.21841,-96.08892"
Advance Auto Parts,CarQuest,1001563,11202 I STREET SUITE 112,OMAHA,NE,68137,USA,,"41.21841,-96.08892","41.21841,-96.08892"
RICHFIELD AUTO PARTS,CarQuest,1001950,P.O.BOX 163,RICHFIELD,OH,44286,USA,3306593761,"41.2258415222168,-81.6180114746094","41.2258415222168,-81.6180114746094"
ECONOMY AUTO PARTS-WILLIAMSPORT,CarQuest,1001423,R. 205 FLEMING STREET,S. WILLIAMSPORT,PA,17702,USA,5703217540,"41.2306518554688,-76.9916687011719","41.2306518554688,-76.9916687011719"
KONECKY OIL INC,CarQuest,1001659,990 COUNTY ROAD M,MEAD,NE,68041,USA,4026242455,"41.2340650008185,-96.4854149999667","41.2340650008185,-96.4854149999667"
WYMANS CARQUEST,CarQuest,1002160,405 MAIN STREET,GRISWOLD,IA,51535,USA,7127782224,"41.2348066393191,-95.135065930638","41.2348066393191,-95.135065930638"
KIMBALL AUTO PARTS,CarQuest,1001646,810 WEST HWY 30,KIMBALL,NE,69145,USA,3082353642,"41.2380527327639,-103.674500140759","41.2380527327639,-103.674500140759"
RERUCHA  AG AND AUTO SUPPLY,CarQuest,1001949,537 D STREET,DAVID CITY,NE,68632,USA,4023673086,"41.2487270752262,-97.1281153352109","41.2487270752262,-97.1281153352109"
WEAVER AUTO PARTS,CarQuest,1002136,8685 STATE ROUTE 322,SHIPPENVILLE,PA,16254,USA,8147823014,"41.25023,-79.45531","41.25023,-79.45531"
CARQUEST,CarQuest,1001169,10801 BLONDO,OMAHA,NE,68154,USA,4024458800,"41.270637512207,-96.0891342163086","41.270637512207,-96.0891342163086"
LOUP CITY AUTO PARTS,CarQuest,1001715,653 O STREET,LOUP CITY,NE,68853,USA,3087451000,"41.274477,-98.967017","41.274477,-98.967017"
Advance Auto Parts,CarQuest,1000442,1735 WASHINGTON BLVD,OGDEN,UT,84404,USA,8013934321,"41.2896821959438,-111.969116603193","41.2896821959438,-111.969116603193"
SAV-MOR DISCOUNT AUTO,CarQuest,1001988,982 MAIN ST,PEEKSKILL,NY,10566,USA,9147377477,"41.29201,-73.92024","41.29201,-73.92024"
Advance Auto Parts,CarQuest,1000072,7449 ROYALTON RD,N. ROYALTON,OH,44133,USA,4402378700,"41.3133,-81.74004","41.3133,-81.74004"
MOSER TIRE SERVICE AND AUTO PART,CarQuest,1001790,105 N MAIN,KOUTS,IN,46347,USA,2197662249,"41.31878,-87.02618","41.31878,-87.02618"
BULLOCK'S TIRE AND AUTO,CarQuest,1000620,2021 MEMORIAL HWY,SHAVERTOWN,PA,18708,USA,5706752197,"41.3256696851613,-75.945054803151","41.3256696851613,-75.945054803151"
BRIDGERLAND CARQUEST,CarQuest,1000606,24 MEADOW STREET,URIE,WY,82939,USA,3077862400,"41.327028335425,-110.300099878646","41.327028335425,-110.300099878646"
CARQUEST,CarQuest,1000813,1016 N 10TH ST,WINTERSET,IA,50273,USA,5154623143,"41.342893,-94.003705","41.342893,-94.003705"
SANDY LAKE AUTO PARTS INC,CarQuest,1001983,5327 FRANKLIN ROAD,SANDY LAKE,PA,16145,USA,7243763105,"41.35104,-80.07813","41.35104,-80.07813"
CARQUEST,CarQuest,1000997,201 EAST JOLIET STREET,OTTAWA,IL,61350,USA,8154330892,"41.3553000024022,-88.8341450001145","41.3553000024022,-88.8341450001145"
Advance Auto Parts,CarQuest,1000254,602 N MAIN ST,PRINCETON,IL,61356,USA,8158754402,"41.3950100000477,-89.46777499958","41.3950100000477,-89.46777499958"
TONYS AUTO PARTS,CarQuest,1002084,509 E OSKALOOSA ST,PELLA,IA,50219,USA,6416283998,"41.3964750009974,-92.89533999952","41.3964750009974,-92.89533999952"
GREENVILLE AUTO PARTS,CarQuest,1001495,16 S WATER STREET,GREENVILLE,PA,16125,USA,7245885510,"41.403848067948,-80.3907810489196","41.403848067948,-80.3907810489196"
Advance Auto Parts,CarQuest,1000354,4895 NEO PARKWAY,GARFIELD HTS,OH,44128,USA,2165877000,"41.42711,-81.57283","41.42711,-81.57283"
BREMEN CARQUEST AUTO PARTS,CarQuest,1000604,1231 WEST PLYMOUTH,BREMEN,IN,46506,USA,5745465356,"41.4465094084331,-86.1519449911519","41.4465094084331,-86.1519449911519"
CARQUEST,CarQuest,1001016,109 S CHICAGO ST,GENESEO,IL,61254,USA,3099448164,"41.450905,-90.14391","41.450905,-90.14391"
PARSELL'S AUTO PARTS,CarQuest,1001849,612 MAIN ST SOUTH,SOUTHBURY,CT,6488,USA,2032646593,"41.4673609194216,-73.2284534257063","41.4673609194216,-73.2284534257063"
CARQUEST,CarQuest,1001269,1403 E LINCOLNWAY,VALPARAISO,IN,46383,USA,2194622133,"41.467810000009,-87.044895","41.467810000009,-87.044895"
CARQUEST,CarQuest,1001141,26 W 81ST AVE US 30,MERRILLVILLE,IN,46410,USA,2197698481,"41.47096,-87.339115","41.47096,-87.339115"
HARVEYS AUTOMOTIVE,CarQuest,1001520,702 NORTH AVE,NORWALK,IA,50211,USA,5159814209,"41.4754000012627,-93.6672000000833","41.4754000012627,-93.6672000000833"
DG NICHOLAS CO - CLARKS SUMMIT,CarQuest,1001383,3 ZIMMERMAN STREET,CLARKS SUMMIT,PA,18411,USA,5705872722,"41.4934700081828,-75.7024000178259","41.4934700081828,-75.7024000178259"
MODOC STEEL AND SUPPLY,CarQuest,1001779,1201 JUNIPER STREET,ALTURAS,CA,96101,USA,5302332655,"41.4997652056181,-120.54962","41.4997652056181,-120.54962"
MASTER AUTO SUPPLY,CarQuest,1001736,9585 WEST LINCOLN HIGHWAY,FRANKFORT,IL,60423,USA,8154691212,"41.5065849574859,-87.8408199983973","41.5065849574859,-87.8408199983973"
CARQUEST,CarQuest,1001015,936 16TH AVE,EAST MOLINE,IL,61244,USA,3097550628,"41.5154000030681,-90.4380450007815","41.5154000030681,-90.4380450007815"
STILSON ROAD AUTO & TRUCK,CarQuest,1002048,6 BUTTONWOODS RD,WYOMING,RI,2898,USA,4015392275,"41.5216036237784,-71.6850069687419","41.5216036237784,-71.6850069687419"
CARQUEST,CarQuest,1001014,312 17TH ST,BETTENDORF,IA,52722,USA,5633594413,"41.52552,-90.50886","41.52552,-90.50886"
FARMERS AUTO SUPPLY,CarQuest,1001442,1511 1ST,FRIEND,NE,69359,USA,4029473261,"41.527271270752,-99.8111038208008","41.527271270752,-99.8111038208008"
DG NICHOLAS CO - TUNKHANNOCK,CarQuest,1001388,503 HUNTER HWY,TUNKHANNOCK,PA,18657,USA,5708362442,"41.53231,-75.94918","41.53231,-75.94918"
MONARCH AUTO SUPPLY,CarQuest,1001781,1112 HALSTED,CHICAGO HEIGHTS,IL,60411,USA,7087554700,"41.53718,-87.63594","41.53718,-87.63594"
CARQUEST,CarQuest,1001168,1115 WASHINGTON ST,BLAIR,NE,68008,USA,4024264646,"41.54341,-96.12842","41.54341,-96.12842"
Advance Auto Parts,CarQuest,1000249,6275 WEST US HIGHWAY 6,PORTAGE,IN,46368,USA,2197627735,"41.55061,-87.19698","41.55061,-87.19698"
DG NICHOLAS CO - HONESDALE,CarQuest,1001384,273 GRANDVIEW AVENUE,HONESDALE,PA,18431,USA,5702539191,"41.55354,-75.23577","41.55354,-75.23577"
Advance Auto Parts,CarQuest,1000174,807 ILLINOIS AVE,MENDOTA,IL,61342,USA,8155399304,"41.5569549999859,-89.1196400011524","41.5569549999859,-89.1196400011524"
CLE-DT EUCLID OH # 9386,CarQuest,1000871,"20001 EUCLID AVENUE, BLDG B",EUCLID,OH,44117,USA,2167165665,"41.56568,-81.5426","41.56568,-81.5426"
DG NICHOLAS CO - CARBONDALE,CarQuest,1001382,3 8TH AVENUE,CARBONDALE,PA,18407,USA,5702822525,"41.57015,-75.50612","41.57015,-75.50612"
Advance Auto Parts,CarQuest,1000266,960 ELK STREET,ROCK SPRINGS,WY,82901,USA,3073623741,"41.5791507112014,-109.211919203381","41.5791507112014,-109.211919203381"
CARQUEST,CarQuest,1001019,2400 E 22ND ST,DES MOINES,IA,50317,USA,5152663220,"41.5938300000001,-93.5775150000403","41.5938300000001,-93.5775150000403"
VALLEY AUTO PARTS,CarQuest,1002111,305 S 15TH ST,ORD,NE,68862,USA,3087283257,"41.5975663922171,-98.9281006536794","41.5975663922171,-98.9281006536794"
CARQUEST,CarQuest,1001020,10121 HICKMAN RD,URBANDALE,IA,50322,USA,5153345188,"41.6165742990178,-93.754206665659","41.6165742990178,-93.754206665659"
CHI-DT CICERO IL #2814,CarQuest,1000857,14500 S. CICERO,MIDLOTHIAN,IL,60445,USA,7083882210,"41.63686000082,-87.74698500054","41.63686000082,-87.74698500054"
LOGAN AUTO SUPPLY,CarQuest,1001707,117 NORTH 4TH AVE,LOGAN,IA,51546,USA,7126442505,"41.6445800000001,-95.7864550000403","41.6445800000001,-95.7864550000403"
Advance Auto Parts,CarQuest,1000063,15142 LAGRANGE RD,ORLAND PARK,IL,60462,USA,7084608900,"41.6464400003298,-87.8537449633692","41.6464400003298,-87.8537449633692"
SUREFIRE AUTO PARTS,CarQuest,1002061,1118 STATE STREET,LEMONT,IL,60439,USA,6302575533,"41.649235000554,-87.9995549745638","41.649235000554,-87.9995549745638"
AUTO PARTS COMPANY,CarQuest,1000540,0990 N 00EW TOWNLINE ROAD,LAGRANGE,IN,46761,USA,2604637530,"41.6495849994729,-85.4250300306585","41.6495849994729,-85.4250300306585"
CANTON AUTO SUPPLY INC.,CarQuest,1000637,301 TROY STREET,CANTON,PA,17724,USA,5706738538,"41.6581102982463,-76.8537176242645","41.6581102982463,-76.8537176242645"
Advance Auto Parts,CarQuest,1000179,522 S MAIN STREET,MIDDLEBURY,IN,46540,USA,5748259529,"41.6589399995692,-85.7057400271463","41.6589399995692,-85.7057400271463"
HARLAN AUTO PARTS,CarQuest,1001515,808 CYCLONE AVENUE,HARLAN,IA,51537,USA,7127338660,"41.6602949742072,-95.3123050010957","41.6602949742072,-95.3123050010957"
DG NICHOLAS CO - WYALUSING,CarQuest,1001389,26 COMPLEX DR,WYALUSING,PA,18853,USA,5707463297,"41.6635322197158,-76.25676279085","41.6635322197158,-76.25676279085"
"SENECA  AUTO PARTS, LLC",CarQuest,1002001,395 N FRALEY ST,KANE,PA,16735,USA,8148379280,"41.66586,-78.81213","41.66586,-78.81213"
Advance Auto Parts,CarQuest,1000372,900-B N. INDEPENDENCE,ROMEOVILLE,IL,60446,USA,6303781128,"41.6729800003043,-88.0596450008234","41.6729800003043,-88.0596450008234"
Advance Auto Parts,CarQuest,1000055,11757 S. PULASKI ROAD,ALSIP,IL,60803,USA,7085970060,"41.67877,-87.71941","41.67877,-87.71941"
MC AUTO SUPPLY,CarQuest,1001740,430 WEST US 20,MICHIGAN CITY,IN,46360,USA,2198791042,"41.6804922067754,-86.8872408662463","41.6804922067754,-86.8872408662463"
CARQUEST,CarQuest,1000941,6645 NE 14TH STREET,DES MOINES,IA,50313,USA,5152894545,"41.68121,-93.59915","41.68121,-93.59915"
Advance Auto Parts,CarQuest,1000332,6603 W 111TH STREET,WORTH,IL,60482,USA,7084488762,"41.6903750001327,-87.7801550000136","41.6903750001327,-87.7801550000136"
HILLBILLS AG AND AUTO,CarQuest,1001541,50591 HWY 91,SPALDING,NE,68665,USA,3084972425,"41.69442,-98.3701","41.69442,-98.3701"
CARQUEST,CarQuest,1001017,4598 SE DELAWARE AVE,ANKENY,IA,50021,USA,5159633030,"41.7023149994122,-93.5813550375545","41.7023149994122,-93.5813550375545"
WILLIE AUTO PARTS AND SUPPLY INC,CarQuest,1002154,20 SOUTH 200 WEST,TREMONTON,UT,84337,USA,4352573710,"41.709456810085,-112.166403411656","41.709456810085,-112.166403411656"
KILLIANS AUTO PARTS,CarQuest,1001645,700 S LAKE STREET,MONTGOMERY,IL,60538-1434,USA,6308924213,"41.7125530446784,-88.3554964354966","41.7125530446784,-88.3554964354966"
NORTH SIDE AUTO PARTS,CarQuest,1001823,140 W COUNTY RD 6,ELKHART,IN,46514,USA,5742644139,"41.7243550033681,-85.9816849999202","41.7243550033681,-85.9816849999202"
CITY SERVICE AND PARTS,CarQuest,1000863,511 MARKET STREET,AUDUBON,IA,50025,USA,7125632146,"41.7253271989316,-94.9372078702918","41.7253271989316,-94.9372078702918"
HARLEM AUTO PARTS & PAINT SUPPLY,CarQuest,1001516,7337 W 87TH ST,BRIDGEVIEW,IL,60455,USA,7085981818,"41.7335250002819,-87.7972650000199","41.7335250002819,-87.7972650000199"
AGA SUPPLY INC,CarQuest,1000483,ROUTE 22 DOVER VILLAGE PLAZA,DOVER PLAINS,NY,12522,USA,8458773880,"41.73416,-73.5809","41.73416,-73.5809"
YREKA AUTO PARTS,CarQuest,1002168,323 N MAIN ST,YREKA,CA,96097,USA,5308424172,"41.73433,-122.63522","41.73433,-122.63522"
CIMINO AUTOMOTIVE,CarQuest,1000860,18 WEST STREET,GALETON,PA,16922,USA,8144357788,"41.7354449935948,-77.6483099891962","41.7354449935948,-77.6483099891962"
Advance Auto Parts,CarQuest,1000156,1585 NORTH MAIN,LOGAN,UT,84321,USA,4357528991,"41.7407099920491,-111.83473400024","41.7407099920491,-111.83473400024"
CARQUEST,CarQuest,1000994,5730 W. 79TH ST,BURBANK,IL,60459-1333,USA,7086363366,"41.74904,-87.76398","41.74904,-87.76398"
Advance Auto Parts,CarQuest,1000056,3 N SMITH ST,AURORA,IL,60505,USA,6308514626,"41.7530600007902,-88.2942799687435","41.7530600007902,-88.2942799687435"
Advance Auto Parts,CarQuest,1000353,1767 WEST OGDEN AVE SUITE 151,NAPERVILLE,IL,60540,USA,6303571330,"41.7560649922495,-88.1975049971875","41.7560649922495,-88.1975049971875"
DIAMONDVILLE CARQUEST,CarQuest,1001391,73 US HIGHWAY 30,DIAMONDVILLE,WY,83116,USA,3078776272,"41.7681780829511,-110.538856722976","41.7681780829511,-110.538856722976"
CIMINO AUTO PARTS,CarQuest,1000859,159 US ROUTE 6,COUDERSPORT,PA,16915,USA,8142742218,"41.77321,-78.02072","41.77321,-78.02072"
Advance Auto Parts,CarQuest,1000014,5815 WEST 63RD STREET,CHICAGO,IL,60638,USA,7735853500,"41.7773349935979,-87.7993699996221","41.7773349935979,-87.7993699996221"
DONS AUTO PARTS INC.,CarQuest,1001399,831 G ST,BURWELL,NE,68823,USA,3083465108,"41.7820921226433,-99.1364095094831","41.7820921226433,-99.1364095094831"
Advance Auto Parts,CarQuest,1000182,2517 ROUTE 44,SALT POINT,NY,12578,USA,8456775977,"41.78301,-73.75688","41.78301,-73.75688"
MITCHELL AUTO PARTS,CarQuest,1001775,688 S MAIN STREET,MANSFIELD,PA,16933,USA,5706622277,"41.7902923673791,-77.0739139895403","41.7902923673791,-77.0739139895403"
