HAWTHORNE MACHINERY OF SAMOA,CarQuest,1001524,4 INDUSTRIAL PARK WAY,PAGO PAGO,AS,96799,6846994306,AS ,-34.8415794373,-55.9769096375
CARQUEST,CarQuest,1001217,4149 CARTAGENA DRIVE SUITE # C,SAN DIEGO,CA,92115,6192878558,USA,32.75285,-117.06141
Advance Auto Parts,CarQuest,1000444,PARCEL # 500-10-008-D,AVONDALE,AZ,85323,,USA,33.4330787659,-112.3479309082
MILLS MORRIS,CarQuest,1001768,2002 MAIN STREET / PO BOX 2306,COLUMBUS,MS,39701,6623286503,USA,33.49804,-88.40925
"KISER AUTO PARTS, CO.",CarQuest,1001651,400 EAST 5TH STREET,PLAINVIEW,TX,79072,8062933912,USA,34.1955451965,-101.7294158936
CARQUEST,CarQuest,1001128,21515 SOLEDAD CANYON RD #101,SANTA CLARITA,CA,91350,6612592552,USA,34.41702,-118.51266
PETERSONS AUTO SUPPLY,CarQuest,1001867,1348 F STREET,WASCO,CA,93280,6617586458,USA,35.5907516479,-119.3366470337
PHILMA INC,CarQuest,1001873,2232 ALUM ROCK AVE #40,SAN JOSE,CA,95116,4082548218,USA,37.35733,-121.84522
Advance Auto Parts,CarQuest,1001567,400 E. TRIMBLE RD.,SAN JOSE,CA,95131,,USA,37.389041,-121.921241
CARQUEST,CarQuest,1000986,5845  WINDMILL AVE  UNIT # A,CARMICHAEL,CA,95608,9169746390,USA,38.64795,-121.327985
CARQUEST,CarQuest,1001209,6015  PACIFIC ST   # 1,ROCKLIN,CA,95677,9166245186,USA,38.7890701294,-121.2335891724
Advance Auto Parts,CarQuest,1000125,2469 HIGHWAY 6 & 50,GRAND JUNCTION,CO,81505,9702424774,USA,39.0617899997,-108.5644599581
CARQUEST,CarQuest,1001091,8720 NW 63RD ST,PARKVILLE,MO,64152,8165876100,USA,39.1892318726,-94.6838989258
CARQUEST,CarQuest,1000721,901 MERRITT BLVD.,BALTIMORE,MD,21222,(410) 488-1900,USA,39.28568,-76.50545
Advance Auto Parts,CarQuest,1000047,305 E MAIN ST.,CARRBORO,NC,27510,9199672289,USA,,
Advance Auto Parts,CarQuest,1000071,120 WEST LIBERTY ST.,MEDINA,OH,44256,3307256608,USA,,
Advance Auto Parts,CarQuest,1000076,756 WEST POPLAR AVE.,COLLIERVILLE,TN,38017,9018617192,USA,,
Advance Auto Parts,CarQuest,1000102,509 N. MANGUM ST.,DURHAM,NC,27701,9196825781,USA,,
Advance Auto Parts,CarQuest,1000129,21325 S.E. STARK ST.,GRESHAM,OR,97030,5036657111,USA,,
Advance Auto Parts,CarQuest,1000146,1991 LAKEPOINT DR.,LEWISVILLE,TX,75057,9724599144,USA,,
Advance Auto Parts,CarQuest,1000163,1910 S. STOUGHTON RD.,MADISON,WI,53716,6082240213,USA,,
Advance Auto Parts,CarQuest,1000166,619 S. DIAMOND ST.,MANSFIELD,OH,44907,4195248866,USA,,
Advance Auto Parts,CarQuest,1000202,3320 WEST 151ST ST.,ROSEMOUNT,MN,55068,6514231159,USA,,
Advance Auto Parts,CarQuest,1000203,6118 OSGOOD AVE. N.,STILLWATER,MN,55082,6514395556,USA,,
Advance Auto Parts,CarQuest,1000214,5308 S.E. ABSHIRE BLVD.,BELLEVIEW,FL,34420,3522459144,USA,,
Advance Auto Parts,CarQuest,1000228,1505 13TH ST.,PARKERSBURG,WV,26101,3044225456,USA,,
Advance Auto Parts,CarQuest,1000236,410 E. SIOUX AVE.,PIERRE,SD,57501,6052247374,USA,,
Advance Auto Parts,CarQuest,1000271,207 SOUTH MAIN ST.,RUSHVILLE,IN,46173,7659323917,USA,,
Advance Auto Parts,CarQuest,1000291,332 S. BLACK RIVER ST.,SPARTA,WI,54656,6082693195,USA,,
Advance Auto Parts,CarQuest,1000311,1865 N. MAIN ST.,TILLAMOOK,OR,97141,5038428241,USA,,
Advance Auto Parts,CarQuest,1000317,3454 YOUNGSTOWN ROAD S.E.,WARREN,OH,44484,3303921548,USA,,
Advance Auto Parts,CarQuest,1000320,1184 W. MAIN ST.,WHITEWATER,WI,53190,2624580594,USA,,
Advance Auto Parts,CarQuest,1000331,210 NORTH BEVER ST.,WOOSTER,OH,44691,3302649748,USA,,
Advance Auto Parts,CarQuest,1000355,4709 BROAD RIVER RD.,COLUMBIA,SC,29210,8037986201,USA,,
Advance Auto Parts,CarQuest,1000356,117 CHARLESTON HWY.,WEST COLUMBIA,SC,29169,8037966052,USA,,
Advance Auto Parts,CarQuest,1000392,1120 EAST IRVING BLVD.,IRVING,TX,75060,9725793430,USA,,
Advance Auto Parts,CarQuest,1000471,14620 PACIFIC AVE. S.,PARKLAND,WA,98444,2537197026,USA,,
ABSOLUTE AG SUPPLY,CarQuest,1000475,74851 RICHLAND RD.,MASSENA,IA,50853,7127793623,USA,,
AG POWER INC,CarQuest,1000482,603 ORCHARD DR.,HILLSBORO,KS,67063,6209473944,USA,,
ANDERSON AUTOMOTIVE SPLY.,CarQuest,1000503,151 MAIN ST.,ANDERSON,TX,77830,9368732913,USA,,
AUTO MART AUTO & OUTDOOR EQUIP.,CarQuest,1000527,804 W BANKHEAD ST.,NEW ALBANY,MS,38652,6625342258,USA,,
BALLARD PARTS SERVICE COMPANY,CarQuest,1000570,1188 JOHN C. CALHOUN DR.,ORANGEBURG,SC,29115,8035341151,USA,,
CARQUEST,CarQuest,1000697,256 N. MAIN ST.,SPARTA,NC,28675,3363725545,USA,,
CARQUEST,CarQuest,1000699,900 S COUNCIL ST.,ATTICA,IN,47918,7657626701,USA,,
CARQUEST,CarQuest,1000708,"2051 S ""E"" ST.",BROKEN BOW,NE,68822,3088722473,USA,,
CARQUEST,CarQuest,1000716,1930 WEST VALLEY BLVD.,COLTON,CA,92324,8446007278,USA,,
CARQUEST,CarQuest,1000753,2631 PENNSYLVANIA AVE.,BALTIMORE,MD,21217,4106690800,USA,,
CARQUEST,CarQuest,1000782,630 E. MOUNTAIN PARKWAY RD.,SALYERSVILLE,KY,41465,6063496141,USA,,
CARQUEST,CarQuest,1000786,1A MAIN ST.,SHELBURNE FALLS,MA,1370,4136259702,USA,,
CARQUEST,CarQuest,1000787,1233 WEST MAIN ST.,SHERIDAN,OR,97378,5038434486,USA,,
CARQUEST,CarQuest,1000790,93 N. MAIN ST.,SOUTH DEERFIELD,MA,1373,4136652622,USA,,
CARQUEST,CarQuest,1000812,8450-A W. WINDSOR BLVD.,WINDSOR,VA,23487,7572424600,USA,,
"CLARENDON AUTO PARTS, INC",CarQuest,1000865,511 S. MILL ST.,MANNING,SC,29102,8034358888,USA,,
CARQUEST,CarQuest,1000940,4505 OLD SEWARD HWY.,ANCHORAGE,AK,99503,9075633126,USA,,
CARQUEST,CarQuest,1000980,221 W. GROVE ST.,CALEDONIA,MN,55921,5077243383,USA,,
CARQUEST,CarQuest,1001028,9850 INDIANAPOLIS BLVD.,HIGHLAND,IN,46322,2199619535,USA,,
CARQUEST,CarQuest,1001049,350 EAST RUSSEL ST.,FAYETTEVILLE,NC,28301,9104832626,USA,,
CARQUEST,CarQuest,1001079,101 SECOND ST.,HAVRE,MT,59501,4062652231,USA,,
CARQUEST,CarQuest,1001083,235 A SW OAK ST.,HILLSBORO,OR,97123,5036482196,USA,,
CARQUEST,CarQuest,1001093,"2119 AVENUE ""A""",KEARNEY,NE,68847,3082372247,USA,,
CARQUEST,CarQuest,1001100,901 MONITOR ST.,LA CROSSE,WI,54603,6087828180,USA,,
CARQUEST,CarQuest,1001101,9109 W. OGDEN AVE.,BROOKFIELD,IL,60513,7083542195,USA,,
CARQUEST,CarQuest,1001106,3738 BOULDER HWY.,LAS VEGAS,NV,89121,7026418282,USA,,
CARQUEST,CarQuest,1001155,3020 BOWLARAMA DR.,NEW CASTLE,DE,19720,3026527278,USA,,
CARQUEST,CarQuest,1001161,320 N. SALCEDO ST.,NEW ORLEANS,LA,70119,5048222288,USA,,
CARQUEST,CarQuest,1001170,340 W. COLLINS AVE.,ORANGE,CA,92867,7145324777,USA,,
CARQUEST,CarQuest,1001202,11481 W. BROAD ST.,RICHMOND,VA,23233,8043602300,USA,,
CARQUEST,CarQuest,1001238,210 E. 10TH ST.,GILROY,CA,95020,4088481155,USA,,
CARQUEST,CarQuest,1001292,421 SOUTH MAIN ST.,WILDWOOD,FL,34785,3527481011,USA,,
CARQUEST,CarQuest,1001327,"795 COLUMBIA AVE ""B""",RIVERSIDE,CA,92507,9516840242,USA,,
DEVIL'S RIVER AUTO PARTS,CarQuest,1001379,501 S CROCKETT AVE.,SONORA,TX,76950,3253873255,USA,,
DG NICHOLAS CO - SCRANTON,CarQuest,1001386,601-615 WYOMING AVE.,SCRANTON,PA,18509,5703427683,USA,,
DURAND AUTO PARTS,CarQuest,1001410,8771 E. LANSING RD.,DURAND,MI,48429,9892883191,USA,,
"DURBIN AUTO PARTS, INC.",CarQuest,1001411,948 SOUTH MEMORIAL DR.,PRATTVILLE,AL,36067,3343655210,USA,,
GOOD AUTO PARTS,CarQuest,1001484,81 ARTHUR ST. S.,ELMIRA,ON,N3B2M8,5196691533,CAN,,
"GREENSBURG AUTO PARTS, INC.",CarQuest,1001493,408 S. MICHIGAN AVE.,GREENSBURG,IN,47240,8122222271,USA,,
"GREER'S AUTO & FARM, LLC",CarQuest,1001496,807 EAST MAIN ST.,JEFFERSON,NC,28640,3368467278,USA,,
GUNNISON IMPLEMENT COMPANY LLC,CarQuest,1001504,51 W. 200 N.,GUNNISON,UT,84634,4355287271,USA,,
"HINES PERFORMANCE PARTS, LLC",CarQuest,1001543,201 S. CENTER ST.,SHELBINA,MO,63468,5735884136,USA,,
J AND A AUTO SUPPLY,CarQuest,1001596,437 NORTH ELM ST.,RED CLOUD,NE,68970,4027462883,USA,,
JEFFERS AUTO PARTS,CarQuest,1001607,603 W ELNORA ST.,ODON,IN,47562,8126364049,USA,,
KAISER AUTO SUPPLY LLC,CarQuest,1001628,143 SOUTH 13TH ST.,GENEVA,NE,68361,4027594211,USA,,
KANE AUTOMOTIVE SUPPLY,CarQuest,1001629,619 W FRANKLIN ST.,DELPHI,IN,46923,7655646004,USA,,
KITTRELL A/P OF CAPE CARTERET,CarQuest,1001652,915 WB MCCLEAN RD.,CAPE CARTERET,NC,28584,2523932081,USA,,
KITTRELL AUTO PARTS #3,CarQuest,1001655,1012 E MAIN ST.,HAVELOCK,NC,28532,2524471034,USA,,
LARRYS AUTO PARTS,CarQuest,1001681,5855 HOLLISTER AVE,**GOLETA**,CA,93117,8059643545,USA,,
MACS AUTO SUPPLY,CarQuest,1001726,372 NW CHEHALIS AVE.,CHEHALIS,WA,98532,3607488666,USA,,
MANCHESTER CARQUEST,CarQuest,1001733,110 SOUTH 11TH ST.,MANCHESTER,IA,52057,5639275566,USA,,
MATHEWS AUTO CENTER,CarQuest,1001738,10 E. WILLOW ST.,LIBERTY,IN,47353,7654585124,USA,,
MICHELENA AUTOMOTIVE SUPPLY,CarQuest,1001751,70 BENTEEN AVE.,BUFFALO,WY,82834,3076842237,USA,,
MID-COUNTY AUTO SUPPLY CARQUEST,CarQuest,1001752,125 NORTH FOURTH ST.,BREESE,IL,62230,6185264503,USA,,
MOAB AUTO PARTS INC.,CarQuest,1001776,1010 S. MAIN ST.,MOAB,UT,84532,4352592413,USA,,
MT AIRY AUTO PARTS,CarQuest,1001800,407 S MAIN ST.,MT AIRY,MD,21771,3018291620,USA,,
MULLER AUTO PARTS,CarQuest,1001803,1107 WEST CEDAR ST.,BERESFORD,SD,57004,6057635080,USA,,
"NEXT LEVEL PARTS, INC.",CarQuest,1001813,430 LANDER AVE.,TURLOCK,CA,95380,2096344968,USA,,
"NICK'S AUTO PARTS, LLC",CarQuest,1001815,610 CENTER DR.,LUXEMBURG,WI,54217,9208452287,USA,,
OTTS AUTO SUPPLY,CarQuest,1001839,239 S. JOHNSON ST.,KAHOKA,MO,63445,6607273646,USA,,
PHI-DT MORRISVILLE PA #1261,CarQuest,1001872,1381 S. PENNSYLVANIA AVE.,MORRISVILLE,PA,19067,2155849185,USA,,
PIECES D'AUTOS STE-CATHERINE J.C,CarQuest,1001887,"4517, RTE FOSSAMBAULT L. 300",STE-CATHERINE J.C.,QC,G3N 1S3,4188754019,CAN,,
QUALITY CARQUEST,CarQuest,1001917,1012 WEST MALONEY AVE.,GALLUP,NM,87301,5058633851,USA,,
RAWLINS AUTO PARTS,CarQuest,1001936,406 E. CEDAR ST.,RAWLINS,WY,82301,3073242751,USA,,
RICHLAND AUTO PARTS,CarQuest,1001951,480 RICHLAND AVE.,ATHENS,OH,45701,7405926677,USA,,
RIVER RUN AUTO PARTS,CarQuest,1001960,820 B WARM SPRINGS RD.,KETCHUM,ID,83340,2087260104,USA,,
ROLL - BINGHAM CARQUEST,CarQuest,1001968,4835 E. 38TH AVE.,ROLL,AZ,85347,9287853319,USA,,
SIDNEY CARQUEST,CarQuest,1002008,710 WEST RUSSELL RD.,SIDNEY,OH,45365,9374926133,USA,,
SOUTHWEST KS SALES LLC-HUGOTON,CarQuest,1002020,528 S. MAIN ST.,HUGOTON,KS,67951,6205448820,USA,,
TAFT MOTOR PARTS,CarQuest,1002068,110 GREEN AVE.,TAFT,TX,78390,3615282343,USA,,
"VALLEY PARTS, LLC",CarQuest,1002116,458 US HWY. 93 N.,EUREKA,MT,59917,4062972411,USA,,
WEBBERS SUPPLY,CarQuest,1002137,1711 ROSE AVE.,BURLINGTON,CO,80807,7193465395,USA,,
Advance Auto Parts,CarQuest,1000378,6701 S. POTOMAC ST.,CENTENNIAL,CO,80112,,USA,39.594442,-104.831749
CARQUEST,CarQuest,1000730,62487 US 40 / BOX107,GRANBY,CO,80446,9708872111,USA,40.0567359924,-105.9229278564
LANDMARK IMPLEMENT CARQUEST,CarQuest,1001677,1190 33 ROAD / PO BOX 177,MINDEN,NE,68959,3088321087,USA,40.506975,-98.932675
CARQUEST,CarQuest,1001008,9070 MARSHALL RD.,CRANBERRY TWP,PA,16066-3606,7247764871,USA,40.711436,-80.097258
KEN'S AUTO PARTS,CarQuest,1001640,"480 ""G"" STREET",ARCATA,CA,95521,7078223674,USA,40.8703117371,-124.0853805542
Advance Auto Parts,CarQuest,1000362,2830 CARQUEST DRIVE,BRUNSWICK,OH,44212,3302253188,USA,41.2338447571,-81.8246231079
RAY-MAC DISTRIBUTORS LIMITED,CarQuest,1001940,378 RICHMOND ST P.O. # 1344,CHATHAM,ON,N7M 5R9,5193523120,CAN,42.39307,-82.1952
JANESVILLE CARQUEST,CarQuest,1001606,1908  HUMES RD / HWY 14,JANESVILLE,WI,53545,6087543383,USA,42.6867752075,-89.0176773071
CARQUEST,CarQuest,1001075,1249 STONECHURCH UNIT RD E7&8,HAMILTON,ON,L8W 2C6,9053182002,CAN,43.1985778809,-79.8376541138
CARQUEST,CarQuest,1000899,4325 HARVESTER ROAD UNIT#10,BURLINGTON,ON,L7L 5M4,9056391401,CAN,43.37138,-79.7753199
CARQUEST,CarQuest,1001062,334 GUELPH ST.,GEORGETOWN,ON,L7G 4B5,9058775161,CAN,43.648801,-79.88711
CARQUEST,CarQuest,1001136,560 DENISON ST UNIT #7,MARKHAM,ON,L3R 2M8,9054755501,CAN,43.82398,-79.34386
CARQUEST,CarQuest,1000952,294 YONGE ST.,BARRIE,ON,L4N 4C7,7057257393,CAN,44.370266,-79.671215
CARQUEST,CarQuest,1000973,"1220 STEWART BLVD, #2",BROCKVILLE,ON,K6V 7H2,6133427777,CAN,44.60243,-75.71124
CARQUEST,CarQuest,1000692,206020 HIGHWAY 26 - R.R. # 3,MEAFORD,ON,N4L 0A7,5195382311,CAN,44.6160064,-80.620174
CARQUEST,CarQuest,1001013,75 AKERLEY BLVD UNITS C & D,DARTMOUTH,NS,B3B 1R7,9024688444,CAN,44.71347,-63.59604
JT AUTO PARTS,CarQuest,1001623,294 COUNTY ROAD #44,KEMPTVILLE,ON,K0G 1J0,6132580060,CAN,45.0219112,-75.6536826
CARQUEST,CarQuest,1001006,#1 LOCUST STREET,COLSTRIP,MT,59323,4067483335,USA,45.8855781555,-106.6273727417
CARQUEST,CarQuest,1001022,457 ADELARD-SAVOIE BLVD UNIT #,DIEPPE,NB,E1A 7E7,5068543500,CAN,46.108208,-64.703544
CARQUEST,CarQuest,1000959,1407 132ND AVE NE STE#1,BELLEVUE,WA,98005,4254547936,USA,47.6255200001,-122.1644150451
AUTO PARTES BAJA - DELANTE,CarQuest,1000529,AV DELANTE #109-A,ENSENADA,BC,22880,(646) 176-3550,MEX,55.001251,-125.002441
